,nameLast,nameGiven,height-plus-weight
735,Barber,Brian Scott,248.0
736,Barber,Charles D.,218.0
737,Barbee,David Monroe,249.0
738,Barberich,Frank Frederick,245.0
739,Barbeau,William Joseph,205.0
740,Barber,Stephen David,267.0
741,Barber,Steven Lee,263.0
742,Barber,Tyrus Turner,241.0
743,Barbieri,James Patrick,222.0
744,Barcelo,Lorenzo Antonio,306.0
745,Barclay,Curtis Cordell,285.0
746,Barclay,George Oliver,232.0
747,Bard,Daniel Paul,291.0
748,Barden,Brian David,261.0
749,Bard,Joshua David,300.0
750,Bare,Raymond Douglas,259.0
751,Barfield,Jesse Lee,273.0
752,Barfield,John David,268.0
753,Barfield,Joshua LaRoy,262.0
754,Barfoot,Clyde Raymond,242.0
755,Bargar,Greg Robert,259.0
756,Barger,Eros Bolivar,232.0
757,Bark,Brian Stuart,239.0
758,Barker,Alfred L.,234.0
759,Barkett,Andrew Jon,278.0
760,Barker,Glen F.,250.0
761,Barker,Kevin Stewart,269.0
762,Barker,Leonard Harold,302.0
763,Barker,Raymond Herrell,264.0
